          Index           Name           S[m]       Beta1[m]         Alfa1x       Beta2[m]          Alfa2            c11            c12            c21            c22          Dx[m]            Dxp          Dy[m]            Dyp      Q1 [2*PI]      Q2 [2*PI]
             91          DTEMP          9.016        20.8389        -1.7664        21.5875       -1.83816      0.0213169       -4.08406       0.039309       -0.68127     -0.0286917    -0.00240635      0.0511809     0.00371209       0.170592       0.169215
             92          DTEMP          9.114         21.187       -1.78578        21.9498       -1.85804      0.0251692       -4.15329       0.039309      -0.685122     -0.0289275    -0.00240635      0.0515447     0.00371209       0.171334       0.169931
             93          DTEMP          9.212        21.5389       -1.80516        22.3159       -1.87792      0.0290215       -4.22328       0.039309      -0.688975     -0.0291633    -0.00240635      0.0519084     0.00371209       0.172064       0.170636
             94          DTEMP           9.31        21.8946       -1.82453        22.6859        -1.8978      0.0328738       -4.29402       0.039309      -0.692827     -0.0293991    -0.00240635      0.0522722     0.00371209       0.172783       0.171329
             95          DTEMP          9.408        22.2541       -1.84391        23.0598       -1.91767       0.036726       -4.36551       0.039309      -0.696679      -0.029635    -0.00240635       0.052636     0.00371209       0.173489       0.172011
             96          DTEMP          9.506        22.6175       -1.86329        23.4376       -1.93755      0.0405783       -4.43777       0.039309      -0.700532     -0.0298708    -0.00240635      0.0529998     0.00371209       0.174185       0.172682
             97          DTEMP          9.604        22.9846       -1.88266        23.8193       -1.95743      0.0444306       -4.51077       0.039309      -0.704384     -0.0301066    -0.00240635      0.0533636     0.00371209       0.174869       0.173342
             98          DTEMP          9.702        23.3555       -1.90204        24.2049       -1.97731      0.0482829       -4.58453       0.039309      -0.708236     -0.0303424    -0.00240635      0.0537274     0.00371209       0.175542       0.173992
             99          DTEMP            9.8        23.7302       -1.92141        24.5944       -1.99719      0.0521352       -4.65905       0.039309      -0.712088     -0.0305782    -0.00240635      0.0540912     0.00371209       0.176204       0.174631
            100      G6_DHX_E1            9.8        23.7302       -1.92141        24.5944       -1.99719      0.0521352       -4.65905       0.039309      -0.712088     -0.0305782    -0.00240635      0.0540912     0.00371209       0.176204       0.174631
            101         DXPM06        13.5002        40.6444       -2.64919        42.1517       -2.74774       0.197569         -8.024       0.039297      -0.856922    -0.00458766      0.0164541      0.0678267     0.00371209       0.195211       0.192962
            102       ERDXPM06        13.5002        40.6444       -2.65309        42.1517       -2.74369       0.196798         -8.024      0.0392336      -0.857693    -0.00458766      0.0164536      0.0678267     0.00370557       0.195211       0.192962
            103      G6_DHX_E2        13.5002        40.6444       -2.65101        42.1517       -2.74585       0.197209         -8.024      0.0392674      -0.857282    -0.00458766      0.0164539      0.0678267     0.00370905       0.195211       0.192962
            104        DRIFT_2        14.3761        45.4398       -2.82401        47.1171       -2.92329       0.231602       -8.97771      0.0392674      -0.891675     0.00982364      0.0164539      0.0710753     0.00370905       0.198455        0.19609
            105        DRIFT_2        15.2519        50.5382         -2.997        52.3933       -3.10074       0.265994       -9.99167      0.0392674      -0.926068      0.0242349      0.0164539      0.0743239     0.00370905       0.201364       0.198896
            106        DRIFT_2        16.1278        55.9396          -3.17        57.9804       -3.27818       0.300387       -11.0659      0.0392674      -0.960461      0.0386462      0.0164539      0.0775725     0.00370905       0.203986       0.201425
            107        DRIFT_2        17.0037        61.6441         -3.343        63.8783       -3.45563        0.33478       -12.2003      0.0392674      -0.994853      0.0530575      0.0164539      0.0808212     0.00370905        0.20636       0.203716
            108        DRIFT_2        17.8795        67.6516       -3.51599         70.087       -3.63307       0.369173        -13.395      0.0392674       -1.02925      0.0674688      0.0164539      0.0840698     0.00370905       0.208518       0.205799
            109        DRIFT_2        18.7554        73.9622       -3.68899        76.6065       -3.81052       0.403566         -14.65      0.0392674       -1.06364      0.0818801      0.0164539      0.0873184     0.00370905       0.210489       0.207701
            110        DRIFT_2        19.6313        80.5758       -3.86198        83.4369       -3.98796       0.437958       -15.9652      0.0392674       -1.09803      0.0962914      0.0164539       0.090567     0.00370905       0.212295       0.209445
            111        DRIFT_2        20.5071        87.4924       -4.03498        90.5781        -4.1654       0.472351       -17.3406      0.0392674       -1.13242       0.110703      0.0164539      0.0938156     0.00370905       0.213955       0.211049
            112     YI6_DH0_E1        20.5071        87.4924       -4.03498        90.5781        -4.1654       0.472351       -17.3406      0.0392674       -1.13242       0.110703      0.0164539      0.0938156     0.00370905       0.213955       0.211049
            113         D0MP06        24.0961        118.975       -4.73626        123.087       -4.89251       0.613221       -23.6035      0.0392325       -1.27198       0.142489     0.00125917       0.107127     0.00370905       0.219555       0.216459
            114     YI6_DH0_E2        24.0961        118.975       -4.73626        123.087       -4.89251       0.613221       -23.6035      0.0392325       -1.27198       0.142489     0.00125917       0.107127     0.00370905       0.219555       0.216459
            115        DRIFT_3        24.7284        125.043        -4.8608        129.355       -5.02061       0.638028       -24.8113      0.0392325       -1.29679       0.143285     0.00125917       0.109473     0.00370905        0.22038       0.217257
            116        DRIFT_3        25.3607        131.269       -4.98534        135.785       -5.14872       0.662836       -26.0504      0.0392325        -1.3216       0.144081     0.00125917       0.111818     0.00370905       0.221165       0.218016
            117           Q1I6        26.8007        129.932         5.8766        169.021       -18.8379        2.93859       -28.9643     -0.0900886       0.937653       0.137391       -0.01046       0.123969      0.0133337       0.222886       0.219559
            118        DRIFT_5         27.639        120.272        5.64733        202.085       -20.6029        2.86306       -30.5784     -0.0900886        1.01318       0.128622       -0.01046       0.135147      0.0133337       0.223953       0.220281
            119        DRIFT_5        28.4774        110.995        5.41806        238.108        -22.368        2.78754       -32.0659     -0.0900886         1.0887       0.119853       -0.01046       0.146324      0.0133337       0.225108       0.220889
            120           Q2I6         31.869        148.141       -18.6199         229.34        24.3746       -4.22878       -37.3239      -0.573012       -5.09203       0.121042      0.0111981        0.14234     -0.0155561       0.229783        0.22296
            121        DRIFT_7        32.7994        184.819       -20.8036        186.231        21.9604       -4.76189       -37.6311      -0.573012       -4.55892        0.13146      0.0111981       0.127867     -0.0155561       0.230678       0.223676
            122        DRIFT_7        33.7297        225.561       -22.9872        147.615        19.5461         -5.295       -36.9463      -0.573012       -4.02581       0.141879      0.0111981       0.113394     -0.0155561       0.231403       0.224569
            123           Q3I6        35.8302         266.48        5.10453        102.715          3.528       -1.66068       -32.9778      0.0261089       0.430544        0.14763    -0.00583272      0.0933911    -0.00387285       0.232712       0.227395
            124        DRIFT_9        36.8196        256.479        5.00408        95.8619        3.39848       -1.63485       -30.9344      0.0261089       0.404713        0.14186    -0.00583272      0.0895596    -0.00387285       0.233315       0.228982
            125        DRIFT_9        37.8089        246.677        4.90363        89.2655        3.26897       -1.60902       -28.9422      0.0261089       0.378883       0.136089    -0.00583272       0.085728    -0.00387285       0.233941       0.230684
            126        DRIFT_9        38.7982        237.074        4.80318        82.9255        3.13945       -1.58319        -27.001      0.0261089       0.353052       0.130319    -0.00583272      0.0818964    -0.00387285       0.234592       0.232515
            127        DRIFT_9        39.7876         227.67        4.70273        76.8417        3.00993       -1.55736        -25.111      0.0261089       0.327222       0.124548    -0.00583272      0.0780649    -0.00387285        0.23527       0.234487
            128        DRIFT_9        40.7769        218.464        4.60228        71.0141        2.88041       -1.53153       -23.2721      0.0261089       0.301391       0.118777    -0.00583272      0.0742333    -0.00387285       0.235976       0.236619
            129        DRIFT_9        41.7662        209.457        4.50183        65.4429        2.75089        -1.5057       -21.4842      0.0261089       0.275561       0.113007    -0.00583272      0.0704018    -0.00387285       0.236712       0.238929
            130        DRIFT_9        42.7556        200.648        4.40138        60.1279        2.62138       -1.47987       -19.7475      0.0261089        0.24973       0.107236    -0.00583272      0.0665702    -0.00387285        0.23748       0.241439
            131        DRIFT_9        43.7449        192.039        4.30094        55.0692        2.49186       -1.45404       -18.0619      0.0261089         0.2239       0.101466    -0.00583272      0.0627387    -0.00387285       0.238282       0.244175
            132        DRIFT_9        44.7342        183.628        4.20049        50.2668        2.36234       -1.42821       -16.4274      0.0261089       0.198069      0.0956954    -0.00583272      0.0589071    -0.00387285        0.23912       0.247168
            133        DRIFT_9        45.7236        175.416        4.10004        45.7206        2.23282       -1.40238       -14.8441      0.0261089       0.172239      0.0899248    -0.00583272      0.0550756    -0.00387285       0.239998       0.250453
            134        DRIFT_9        46.7129        167.403        3.99959        41.4307         2.1033       -1.37655       -13.3118      0.0261089       0.146408      0.0841543    -0.00583272       0.051244    -0.00387285       0.240917       0.254071
            135        DRIFT_9        47.7022        159.588        3.89914        37.3971        1.97378       -1.35072       -11.8306      0.0261089       0.120578      0.0783838    -0.00583272      0.0474125    -0.00387285        0.24188       0.258072
            136        DRIFT_9        48.6916        151.973        3.79869        33.6198        1.84427       -1.32489       -10.4006      0.0261089      0.0947475      0.0726133    -0.00583272      0.0435809    -0.00387285       0.242891       0.262513
            137        DRIFT_9        49.6809        144.556        3.69824        30.0987        1.71475       -1.29906       -9.02163      0.0261089       0.068917      0.0668427    -0.00583272      0.0397494    -0.00387285       0.243953       0.267464
            138        DRIFT_9        50.6703        137.338        3.59779         26.834        1.58523       -1.27323        -7.6938      0.0261089      0.0430865      0.0610722    -0.00583272      0.0359178    -0.00387285       0.245071       0.273005
            139        DRIFT_9        51.6596        130.318        3.49734        23.8254        1.45571        -1.2474       -6.41708      0.0261089       0.017256      0.0553017    -0.00583272      0.0320863    -0.00387285       0.246248       0.279234
            140        DRIFT_9        52.6489        123.497        3.39689        21.0732        1.32619       -1.22156       -5.19147      0.0261089    -0.00857444      0.0495312    -0.00583272      0.0282547    -0.00387285       0.247489       0.286264
            141        DRIFT_9        53.6383        116.875        3.29645        18.5772        1.19667       -1.19573       -4.01697      0.0261089     -0.0344049      0.0437606    -0.00583272      0.0244232    -0.00387285         0.2488       0.294225
            142        DRIFT_9        54.6276        110.452          3.196        16.3376        1.06716        -1.1699       -2.89358      0.0261089     -0.0602354      0.0379901    -0.00583272      0.0205916    -0.00387285       0.250186       0.303268
